,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_n_jobs,param_random_state,param_verbose,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
21,0.125738525390625,0.007074682991695145,0.10209779739379883,0.0003103074145822321,True,10,0.07,2,2,45,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 45, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9491525423728814,0.9322033898305084,0.9662711864406779,0.02157319313570167,969,1.0,1.0,1.0,1.0,1.0,1.0,0.0
22,0.20286951065063477,0.03462143908433938,0.10240321159362793,0.000968976357763713,True,10,0.07,2,2,60,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 60, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.95,0.9333333333333333,0.9833333333333333,0.9661016949152542,0.9152542372881356,0.9496045197740113,0.023894097477897152,1180,1.0,0.9957983193277311,1.0,1.0,1.0,0.9991596638655462,0.001680672268907557
23,0.266874885559082,0.01573283114722674,0.10269060134887695,0.001273749437852985,True,10,0.07,2,2,110,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 110, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.9666666666666667,0.95,0.9666666666666667,0.9661016949152542,0.9491525423728814,0.9597175141242937,0.008287193920139622,1046,1.0,1.0,1.0,1.0,1.0,1.0,0.0
24,0.38100757598876955,0.02297954252840561,0.10253429412841797,0.0005942975899809472,True,10,0.07,2,2,148,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 148, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.9166666666666666,0.95,0.9666666666666667,0.9661016949152542,0.9322033898305084,0.9463276836158192,0.019480468492467276,1210,1.0,1.0,1.0,1.0,1.0,1.0,0.0
25,0.10718846321105957,0.0013159076271929116,0.1021388053894043,9.040477902664564e-05,True,10,0.07,2,3,10,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.8,0.9333333333333333,0.9833333333333333,0.7627118644067796,0.8983050847457628,0.8755367231638418,0.08235800009728804,1414,0.9747899159663865,0.9957983193277311,0.9663865546218487,0.9707112970711297,0.9874476987447699,0.9790267571463731,0.010945957927154268
26,0.12585487365722656,0.007812038704638321,0.10243487358093262,0.000317030591453146,True,10,0.07,2,3,45,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 45, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9491525423728814,0.9322033898305084,0.9662711864406779,0.02157319313570167,969,1.0,1.0,1.0,1.0,1.0,1.0,0.0
27,0.17387571334838867,0.04841876183576212,0.10214090347290039,0.00019511789633158688,True,10,0.07,2,3,60,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 60, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.95,0.9333333333333333,0.9833333333333333,0.9661016949152542,0.9152542372881356,0.9496045197740113,0.023894097477897152,1180,1.0,0.9957983193277311,1.0,1.0,1.0,0.9991596638655462,0.001680672268907557
28,0.3011149883270264,0.04830765087963832,0.10260052680969238,0.0007573123092899734,True,10,0.07,2,3,110,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 110, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.9666666666666667,0.95,0.9666666666666667,0.9661016949152542,0.9491525423728814,0.9597175141242937,0.008287193920139622,1046,1.0,1.0,1.0,1.0,1.0,1.0,0.0
29,0.37925214767456056,0.024207725999424407,0.10230054855346679,0.0003072620619857812,True,10,0.07,2,3,148,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 148, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.9166666666666666,0.95,0.9666666666666667,0.9661016949152542,0.9322033898305084,0.9463276836158192,0.019480468492467276,1210,1.0,1.0,1.0,1.0,1.0,1.0,0.0
30,0.10667428970336915,0.0005003721250312861,0.10203413963317871,3.569832396210921e-05,True,10,0.07,2,5,10,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.85,0.95,0.95,0.8813559322033898,0.8983050847457628,0.9059322033898305,0.039177847864404335,1346,0.9831932773109243,0.9873949579831933,0.9411764705882353,0.9748953974895398,0.9707112970711297,0.9714742800886047,0.016254515239751625
31,0.128151798248291,0.016075691461213806,0.10754075050354003,0.008020474357020042,True,10,0.07,2,5,45,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 45, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.95,0.9833333333333333,1.0,1.0,0.9830508474576272,0.983276836158192,0.018257768238657476,828,1.0,1.0,0.9957983193277311,1.0,1.0,0.9991596638655462,0.001680672268907557
32,0.13465280532836915,0.019552100690103016,0.10189728736877442,9.589044682607219e-05,True,10,0.07,2,5,60,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 60, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.9166666666666666,0.95,0.9833333333333333,0.9661016949152542,1.0,0.9632203389830508,0.028662170145445306,983,1.0,0.9957983193277311,0.9873949579831933,0.99581589958159,0.99581589958159,0.9949650152948208,0.00411823366099883
33,0.3123607158660889,0.04574871252203905,0.1022453784942627,0.00015906857352075758,True,10,0.07,2,5,110,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 110, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.95,0.95,0.9833333333333333,1.0,0.9661016949152542,0.9698870056497174,0.019457187472476878,928,1.0,1.0,0.9957983193277311,1.0,1.0,0.9991596638655462,0.001680672268907557
34,0.38190646171569825,0.01965276230607075,0.10405645370483399,0.0023412623502432057,True,10,0.07,2,5,148,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 148, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.9166666666666666,0.95,0.95,0.9830508474576272,0.9661016949152542,0.9531638418079096,0.021966723620034892,1111,1.0,1.0,1.0,1.0,1.0,1.0,0.0
35,0.10754766464233398,0.00153387775021539,0.10207271575927734,9.432798400466805e-05,True,10,0.07,2,8,10,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.8,0.8166666666666667,0.95,0.8813559322033898,0.9661016949152542,0.882824858757062,0.06735956115585084,1384,0.9453781512605042,0.9621848739495799,0.9117647058823529,0.9456066945606695,0.9790794979079498,0.9488027847122111,0.022313771820272957
36,0.1498878002166748,0.037022419488064215,0.10202713012695312,0.00017302668212866693,True,10,0.07,2,8,45,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 45, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.95,0.9666666666666667,0.9833333333333333,0.9491525423728814,0.9661016949152542,0.963050847457627,0.01262733982793931,1019,0.9957983193277311,1.0,0.9957983193277311,0.99581589958159,1.0,0.9974825076474104,0.0020555339222712993
37,0.15832371711730958,0.0330107837550072,0.10191617012023926,4.365198726409817e-05,True,10,0.07,2,8,60,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 60, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.9333333333333333,0.95,0.9666666666666667,0.9152542372881356,0.9152542372881356,0.9361016949152543,0.02002137451460603,1241,1.0,0.9957983193277311,0.9957983193277311,0.99581589958159,1.0,0.9974825076474104,0.0020555339222712993
38,0.3145763874053955,0.033595302819493716,0.10416021347045898,0.0020471813958768226,True,10,0.07,2,8,110,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 110, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.95,0.95,0.9666666666666667,0.9661016949152542,0.9830508474576272,0.9631638418079096,0.012352871883660892,996,1.0,1.0,1.0,1.0,1.0,1.0,0.0
39,0.39545440673828125,0.017444709708183338,0.10246791839599609,0.0004555394256289907,True,10,0.07,2,8,148,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 148, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.8833333333333333,0.95,0.9833333333333333,0.9661016949152542,0.9830508474576272,0.9531638418079096,0.037032767051462516,1111,1.0,1.0,1.0,1.0,1.0,1.0,0.0
40,0.10685501098632813,0.00047910538499312897,0.1020650863647461,9.38496208211676e-05,True,10,0.07,4,2,10,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.7833333333333333,0.85,0.9833333333333333,0.8135593220338984,0.9661016949152542,0.8792655367231639,0.08092884602732434,1399,0.9201680672268907,0.9159663865546218,0.907563025210084,0.9205020920502092,0.9372384937238494,0.920287612953131,0.009674510656198893
41,0.11903777122497558,0.00042314961976924124,0.10202851295471191,7.201939818221827e-05,True,10,0.07,4,2,45,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 45, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.9833333333333333,0.9166666666666666,0.9833333333333333,0.9322033898305084,0.9491525423728814,0.9529378531073446,0.026861183692779695,1141,0.9957983193277311,0.9831932773109243,0.9831932773109243,0.9748953974895398,0.99581589958159,0.986579234204142,0.008120947806135337
42,0.1470799922943115,0.03915667690334932,0.10205979347229004,0.00031245452573975597,True,10,0.07,4,2,60,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 60, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9152542372881356,0.9322033898305084,0.9161581920903956,0.025681306613960193,1301,0.9873949579831933,0.9831932773109243,0.9831932773109243,0.9874476987447699,0.99581589958159,0.9874090221862805,0.00460917109523903
43,0.28054103851318357,0.033943861996894226,0.10704331398010254,0.00991450071488235,True,10,0.07,4,2,110,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 110, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.9166666666666666,0.95,0.9666666666666667,0.9830508474576272,1.0,0.963276836158192,0.028635207401724358,971,0.9957983193277311,1.0,1.0,0.99581589958159,1.0,0.9983228437818642,0.0020540959998451465
44,0.3916496753692627,0.01715931902034933,0.10243926048278809,0.00038338219345054414,True,10,0.07,4,2,148,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 148, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.9,0.95,0.9833333333333333,0.9830508474576272,0.9661016949152542,0.9564971751412429,0.0308274805452617,1059,0.9873949579831933,1.0,0.9873949579831933,0.9874476987447699,1.0,0.9924475229422314,0.006166601766813917
45,0.10755434036254882,0.0022397639851555145,0.10201325416564941,3.3393788288607116e-05,True,10,0.07,4,3,10,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.7833333333333333,0.85,0.9833333333333333,0.8135593220338984,0.9661016949152542,0.8792655367231639,0.08092884602732434,1399,0.9201680672268907,0.9159663865546218,0.907563025210084,0.9205020920502092,0.9372384937238494,0.920287612953131,0.009674510656198893
46,0.1241720199584961,0.006524046852254783,0.10212717056274415,0.00014869236890272688,True,10,0.07,4,3,45,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 45, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.9833333333333333,0.9166666666666666,0.9833333333333333,0.9322033898305084,0.9491525423728814,0.9529378531073446,0.026861183692779695,1141,0.9957983193277311,0.9831932773109243,0.9831932773109243,0.9748953974895398,0.99581589958159,0.986579234204142,0.008120947806135337
47,0.13544225692749023,0.0077960441519284735,0.10242981910705566,0.0006694372447799537,True,10,0.07,4,3,60,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 60, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9152542372881356,0.9322033898305084,0.9161581920903956,0.025681306613960193,1301,0.9873949579831933,0.9831932773109243,0.9831932773109243,0.9874476987447699,0.99581589958159,0.9874090221862805,0.00460917109523903
48,0.29148502349853517,0.0448173455965903,0.10643634796142579,0.008141124643412337,True,10,0.07,4,3,110,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 110, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.9166666666666666,0.95,0.9666666666666667,0.9830508474576272,1.0,0.963276836158192,0.028635207401724358,971,0.9957983193277311,1.0,1.0,0.99581589958159,1.0,0.9983228437818642,0.0020540959998451465
49,0.39699649810791016,0.022187469704256824,0.1095738410949707,0.009608887923430322,True,10,0.07,4,3,148,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 148, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.9,0.95,0.9833333333333333,0.9830508474576272,0.9661016949152542,0.9564971751412429,0.0308274805452617,1059,0.9873949579831933,1.0,0.9873949579831933,0.9874476987447699,1.0,0.9924475229422314,0.006166601766813917
