,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
5342,0.11847491264343261,0.0063098333006298005,0.10541439056396484,0.006687470496817318,False,40,0.15,1,8,25,"{'bootstrap': False, 'max_depth': 40, 'max_features': 0.15, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 25}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5343,0.17950334548950195,0.05548209882355938,0.11557049751281738,0.014642856556878504,False,40,0.15,1,8,45,"{'bootstrap': False, 'max_depth': 40, 'max_features': 0.15, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 45}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5344,0.2043323516845703,0.08066756370172236,0.11316642761230469,0.01363927768011668,False,40,0.15,1,8,60,"{'bootstrap': False, 'max_depth': 40, 'max_features': 0.15, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 60}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5345,0.4829858303070068,0.08866471475718513,0.12448463439941407,0.016681686151138148,False,40,0.15,1,8,110,"{'bootstrap': False, 'max_depth': 40, 'max_features': 0.15, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 110}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5346,0.7071078777313232,0.06960210627198998,0.12516441345214843,0.006980573207657147,False,40,0.15,1,8,148,"{'bootstrap': False, 'max_depth': 40, 'max_features': 0.15, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 148}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5347,0.9818069458007812,0.16099936107793683,0.11432857513427734,0.007457272375426012,False,40,0.15,1,8,200,"{'bootstrap': False, 'max_depth': 40, 'max_features': 0.15, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 200}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5348,0.1303342819213867,0.014446260503360071,0.11412506103515625,0.010889608040509704,False,40,0.15,1,12,10,"{'bootstrap': False, 'max_depth': 40, 'max_features': 0.15, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 10}",1.0,0.9875,0.9625,1.0,1.0,0.99,0.014577379737113242,4809,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5349,0.12354931831359864,0.008289193227508486,0.11275920867919922,0.02025627473441648,False,40,0.15,1,12,25,"{'bootstrap': False, 'max_depth': 40, 'max_features': 0.15, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 25}",1.0,1.0,0.9625,0.9873417721518988,1.0,0.9899683544303798,0.014582943242583348,4894,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5350,0.1993706703186035,0.06014219379793339,0.11530156135559082,0.021739309894821285,False,40,0.15,1,12,45,"{'bootstrap': False, 'max_depth': 40, 'max_features': 0.15, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 45}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5351,0.23608183860778809,0.07221108868722659,0.11012206077575684,0.007229649066941891,False,40,0.15,1,12,60,"{'bootstrap': False, 'max_depth': 40, 'max_features': 0.15, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 60}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
