,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
15,0.006112813949584961,0.00012311063716413735,0.0014874935150146484,2.1599723253828228e-05,1,0.005,rbf,42,"{'C': 1, 'gamma': 0.005, 'kernel': 'rbf', 'random_state': 42}",0.6333333333333333,0.6833333333333333,0.6166666666666667,0.6271186440677966,0.6271186440677966,0.6375141242937853,0.02352712238178374,52,0.6512605042016807,0.6974789915966386,0.6386554621848739,0.7154811715481172,0.6861924686192469,0.6778137196301115,0.0286852075672178
16,0.006012153625488281,0.0002359951063655956,0.0015036106109619141,4.790982045489165e-05,1,0.0001,rbf,42,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf', 'random_state': 42}",0.5666666666666667,0.5666666666666667,0.5666666666666667,0.576271186440678,0.5932203389830508,0.5738983050847457,0.010352403996426084,71,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5690376569037657,0.5690376569037657,0.5704722056186491,0.0011713041208765587
17,0.006003332138061523,7.111997041632847e-05,0.001463031768798828,6.431693707332724e-05,1,0.0005,rbf,42,"{'C': 1, 'gamma': 0.0005, 'kernel': 'rbf', 'random_state': 42}",0.6166666666666667,0.6,0.5833333333333334,0.559322033898305,0.5932203389830508,0.5905084745762712,0.019004057518774705,62,0.592436974789916,0.5966386554621849,0.6008403361344538,0.5899581589958159,0.6276150627615062,0.6014978376287753,0.013575100931584263
18,0.008573627471923828,0.00013327752967172185,0.0016838550567626954,2.5222657452043897e-05,10,1,rbf,42,"{'C': 10, 'gamma': 1, 'kernel': 'rbf', 'random_state': 42}",0.5833333333333334,0.5666666666666667,0.5666666666666667,0.576271186440678,0.5932203389830508,0.577231638418079,0.010168863759657186,64,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19,0.015476322174072266,0.0077431623464057665,0.002178382873535156,0.0006647806459496185,10,0.5,rbf,42,"{'C': 10, 'gamma': 0.5, 'kernel': 'rbf', 'random_state': 42}",0.6166666666666667,0.6,0.6,0.6101694915254238,0.6610169491525424,0.6175706214689266,0.022630204265652897,53,1.0,1.0,1.0,1.0,1.0,1.0,0.0
20,0.008313608169555665,0.0001848486412775654,0.0016981601715087891,9.643877980692133e-05,10,0.1,rbf,42,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf', 'random_state': 42}",0.8833333333333333,0.8333333333333334,0.95,0.864406779661017,0.9322033898305084,0.8926553672316384,0.04302659577607052,40,1.0,1.0,1.0,1.0,1.0,1.0,0.0
21,0.01146402359008789,0.0005491375963268407,0.0012997627258300782,0.00011525003189973723,10,0.01,rbf,42,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf', 'random_state': 42}",1.0,0.9833333333333333,0.9833333333333333,1.0,1.0,0.9933333333333334,0.008164965809277286,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0
22,0.009153366088867188,0.00018386973137201362,0.0015520095825195313,2.0309344885410498e-05,10,0.05,rbf,42,"{'C': 10, 'gamma': 0.05, 'kernel': 'rbf', 'random_state': 42}",0.9166666666666666,0.9833333333333333,0.9833333333333333,0.9491525423728814,0.9491525423728814,0.9563276836158192,0.02503825793653911,32,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23,0.006442546844482422,0.00017520732357625076,0.001433563232421875,3.330918314278831e-05,10,0.001,rbf,42,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf', 'random_state': 42}",0.9833333333333333,0.9666666666666667,1.0,0.9830508474576272,0.9661016949152542,0.9798305084745763,0.01257947380808368,31,0.9957983193277311,0.9915966386554622,0.9957983193277311,0.9874476987447699,0.9832635983263598,0.9907809148764108,0.0048710261348892305
24,0.009808588027954101,0.0005570451887821922,0.0012484550476074218,4.545276223581222e-05,10,0.005,rbf,42,"{'C': 10, 'gamma': 0.005, 'kernel': 'rbf', 'random_state': 42}",1.0,1.0,1.0,1.0,0.9830508474576272,0.9966101694915255,0.006779661016949135,23,1.0,1.0,1.0,1.0,1.0,1.0,0.0
